⸮⸮Ƈ⸮,,V⸮L'k⸮&TY⸮z⸮⸮b|⸮ޗ⸮⸮t⸮⸮⸮5⸮⸮/⸮vB⸮0⸮',⸮eC⸮&⸮⸮քC⸮G⸮⸮V⸮⸮⸮`⸮⸮⸮:`⸮⸮&⸮-J⸮P⸮7fl|⸮⸮⸮`5
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#121#Round Trip Time#1006052#Encryption Time Sender#334#Decryption Time Sender#290#49088#49088#49088#Message:#102.5#  328 #
Packet Sent:#122#Round Trip Time#1005997#Encryption Time Sender#328#Decryption Time Sender#290#49088#49088#49088#Message:#101.4#  325 #
Packet Sent:#123#Round Trip Time#1005887#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#100.5#  328 #
Packet Sent:#124#Round Trip Time#1005457#Encryption Time Sender#239#Decryption Time Sender#295#49088#49088#49088#Message:#101.3#  327 #
Packet Sent:#125#Round Trip Time#1007016#Encryption Time Sender#330#Decryption Time Sender#289#49088#48976#48976#Message:#101.6#  327 #
Packet Sent:#126#Round Trip Time#1007368#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.1#  323 #
Packet Sent:#127#Round Trip Time#1005777#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.2#  327 #
Packet Sent:#128#Round Trip Time#1005853#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#101.4#  328 #
Packet Sent:#129#Round Trip Time#1005871#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.3#  328 #
Packet Sent:#130#Round Trip Time#1006081#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.2#  340 #
Packet Sent:#131#Round Trip Time#1005848#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.3#  323 #
Packet Sent:#132#Round Trip Time#1006031#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#100.7#  327 #
Packet Sent:#133#Round Trip Time#1003102#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#99.91#  326 #
Packet Sent:#134#Round Trip Time#1006993#Encryption Time Sender#329#Decryption Time Sender#289#49088#49088#49088#Message:#100.7#  326 #
Packet Sent:#135#Round Trip Time#1005962#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#100.4#  327 #
Packet Sent:#136#Round Trip Time#1002870#Encryption Time Sender#329#Decryption Time Sender#258#49088#49088#49088#Message:#100.5#  327 #
Packet Sent:#137#Round Trip Time#1005753#Encryption Time Sender#329#Decryption Time Sender#295#49088#49088#49088#Message:#101.0#  327 #
